127.0.0.1 - - [13/Oct/2016:22:50:55 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:07 +0530] "GET /DigitalGallery/ HTTP/1.1" 200 9914
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:10 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:10 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:10 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:10 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:10 +0530] "GET /DigitalGallery/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:10 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:10 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:11 +0530] "GET /DigitalGallery/resources/My_Design/logo.jpg HTTP/1.1" 200 14536
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:12 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:12 +0530] "GET /DigitalGallery/resources/My_Design/cart11.png HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:12 +0530] "GET /DigitalGallery/resources/My_Design/32.jpg HTTP/1.1" 200 119330
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:12 +0530] "GET /DigitalGallery/resources/My_Design/30.jpg HTTP/1.1" 200 22143
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:12 +0530] "GET /DigitalGallery/resources/My_Design/34.jpg HTTP/1.1" 200 123153
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:12 +0530] "GET /DigitalGallery/resources/My_Design/33.jpg HTTP/1.1" 200 180521
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:12 +0530] "GET /DigitalGallery/resources/My_Design/31.jpg HTTP/1.1" 200 102795
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:53 +0530] "GET /DigitalGallery/usershow HTTP/1.1" 200 5162
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:53 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:53 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:53 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:53 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:54 +0530] "GET /DigitalGallery/resources/My_Design/logo.jpg HTTP/1.1" 200 14536
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:54 +0530] "GET /DigitalGallery/resources/My_Design/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:54 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:54 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:54 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2016:22:51:54 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
